Name,Made,Fuel Type,Mileage,Gearbox,Engine,Power,Location,Price
Opel Frontera DTI Sport RS,2001-08,Dyzelinas,,Mechaninė,2.2,85,"Kaunas, Lietuva",1 450 €
Volkswagen Golf TDI Comfortline,2008-09,Dyzelinas,313 250 km,Mechaninė,1.9,77,"Vilnius, Lietuva",1 950 €
Volkswagen Passat TDI DPF Highline DSG,2007-06,Dyzelinas,273 000 km,Automatinė,2.0,103,"Vilnius, Lietuva",1 550 €
Citroen C4 Grand Picasso I,2007-01,Dyzelinas,228 635 km,Automatinė,2.0,100,"Kaunas, Lietuva",2 100 €
Opel Zafira CDTI Elegance,2006-11,Dyzelinas,265 000 km,Mechaninė,1.9,88,"Kaunas, Lietuva",1 999 €
Ford C-MAX TDCi Titanium,2010-09,Dyzelinas,,Mechaninė,1.8,85,"Kaunas, Lietuva",2 900 €
Mercedes-Benz C 320 W204 CDI Avantgarde,2007-07,Dyzelinas,378 662 km,Automatinė,3.0,165,"Kaišiadorys, Lietuva",6 000 €
Toyota Yaris,2018-09,Benzinas/Elektra,41 000 km,Automatinė,1.5,74,"Anykščiai, Lietuva",11 900 €
Opel Zafira CDTI Essentia EU5,2012-07,Dyzelinas,222 142 km,Mechaninė,1.7,92,"Klaipėda, Lietuva",3 400 €
Volkswagen Golf,2009-06,Dyzelinas,280 000 km,Mechaninė,1.9,77,"Klaipėda, Lietuva",3 600 €
Volkswagen Golf TSI,2017-01,Benzinas,123 356 km,Automatinė,1.8,125,"Vilnius, Lietuva",8 000 € + mokesčiai
Opel Zafira A,2001-07,Dyzelinas,,Mechaninė,2.0,84,"Alytus, Lietuva",550 €
Mitsubishi Carisma I 1800 GDI LX,1999-01,Benzinas,159 253 km,Mechaninė,1.8,92,"Klaipėda, Lietuva",950 €
Seat Altea XL,2008-11,Dyzelinas,301 251 km,Automatinė,1.9,77,"Klaipėda, Lietuva",3 450 €
BMW 320 i,2008-04,Benzinas,224 000 km,Mechaninė,2.0,125,"Vilnius, Lietuva",5 750 €
Opel Zafira,2003-06,Dyzelinas,320 000 km,Automatinė,2.0,74,"Kaunas, Lietuva",600 €
Volkswagen Golf IV,2002-03,Benzinas,,Mechaninė,1.6,77,"Mažeikiai, Lietuva",800 €
Renault Laguna II FL,2006-06,Dyzelinas,271 005 km,Mechaninė,1.9,88,"Tauragė, Lietuva",850 €
Volkswagen Passat,2002-06,Benzinas,336 000 km,Automatinė,2.0,85,"Talinas, Estija",1 199 €
Toyota Avensis D-4D,2006-10,Dyzelinas,277 000 km,Mechaninė,2.0,93,"Talinas, Estija",1 299 €
Volkswagen Golf,2001-06,Benzinas,,Mechaninė,1.8,,"Šiauliai, Lietuva",1 350 €
Audi A4,2003-09,Benzinas,354 000 km,Automatinė,2.4,125,"Talinas, Estija",1 399 €
Opel Astra,2005-01,Dyzelinas,248 000 km,Mechaninė,1.7,59,"Šiauliai, Lietuva",1 450 €
Opel Vectra CDTI Cosmo,2006-06,Dyzelinas,,Mechaninė,1.9,110,"Kretinga, Lietuva",1 450 €
Ford Focus,2006-12,Benzinas,123 000 km,Mechaninė,1.6,74,"Talinas, Estija",1 499 €
Suzuki Alto,2009-10,Benzinas,116 000 km,Mechaninė,1.0,50,"Talinas, Estija",1 499 €
Audi A2 TDI,2001-07,Dyzelinas,248 000 km,Mechaninė,1.4,55,"Talinas, Estija",1 499 €
Volvo V70,2005-07,Dyzelinas,464 000 km,Mechaninė,2.4,120,"Vilnius, Lietuva",1 500 €
Volvo V70 T Kinetic,2005-06,Benzinas,,Automatinė,2.5,154,"Vilnius, Lietuva",1 550 €
BMW 320 d Touring,2001-08,Dyzelinas,,Mechaninė,2.0,100,"Klaipėda, Lietuva",1 550 €
Volkswagen Passat B5 FL TDI Basis,2003-05,Dyzelinas,,Mechaninė,1.9,96,"Telšiai, Lietuva",1 630 €
Peugeot 107,2007-05,Benzinas,158 000 km,Automatinė,1.0,50,"Talinas, Estija",1 799 €
Ford S-Max,2007-11,Dyzelinas,,Mechaninė,2.0,103,"Klaipėda, Lietuva",1 999 €
Dodge Caliber,2008-02,Benzinas,144 000 km,Automatinė,2.0,115,"Talinas, Estija",1 999 €
Toyota Corolla Verso,2007-11,Dyzelinas,,Mechaninė,2.0,,"Klaipėda, Lietuva",2 150 €
Mercedes-Benz Viano CDI,2004-08,Dyzelinas,445 000 km,Automatinė,2.1,110,"Talinas, Estija",2 299 €
Volvo C30 D4,2007-04,Dyzelinas,251 000 km,Mechaninė,1.6,80,"Talinas, Estija",2 299 €
Chevrolet HHR,2006-09,Benzinas/Dujos,233 000 km,Automatinė,2.4,128,"Talinas, Estija",2 499 €
Volkswagen Touran TDI,2008-11,Dyzelinas,245 000 km,Mechaninė,1.9,77,"Talinas, Estija",2 499 €
Nissan X-Trail,2006-01,Benzinas,219 000 km,Automatinė,2.5,121,"Talinas, Estija",2 499 €
Mazda 3,2008-08,Benzinas,99 000 km,Mechaninė,1.6,77,"Talinas, Estija",2 499 €
